,Numer,Zdanie,"Sugeruje, że",Rodzaj,Typ
0,056WXZ,"""Michał wie, że Piotr dostał SMS dwie minuty temu.""",Michał zasługuje na naganę.,Z,target
1,240PXF,"""Zagrzmiało i spadł ulewny deszcz.""",grzmot poprzedził ulewę.,P sekwencja,filler
2,085WXK,"""Alicja wie, że włączenie radia sprawi, że jej siostra usłyszy audycję.""",Alicja zasługuje na pochwałę.,W,target
3,251PXF,"""Ewa złamała palec u nogi.""",Ewa złamała swój palec.,P R,filler
4,259PXF,"""Kajtek przyniósł chleb ze sklepu.""",Kajtek zapłacił za chleb w sklepie.,P R,filler
5,001WXO,"""Jerzy wie, że Ziemia jest okrągła.""",Jerzy zasługuje na pochwałę.,O,target
6,053MXZ,"""Joachim myśli, że pociąg do Berlina odjechał o ósmej piętnaście.""",Joachim zasługuje na naganę.,Z,target
7,280NXF,"""Większość lekarzy jest artystami.""",większość artystów jest lekarzami.,N,filler
8,115WXK,"""Kacper wie, że podgłośnienie muzyki przez Marcina sprawi, że usłyszy ją cała jego rodzina.""",Kacper zasługuje na naganę.,C,target
9,270NXF,"""Natalia chce polecieć do Finlandii.""",brat Natalii jest poważnie chory.,N,filler
10,041WXZ,"""Władek wie, że temperatura w Zielonej Górze wyniosła dziś siedemnaście stopni.""",Władek zasługuje na pochwałę.,Z,target
11,023MXO,"""Sebastian myśli, że Polska co roku uzyskuje coraz wyższe miejsce w światowym rankingu szczęśliwości.""",Sebastian zasługuje na naganę.,O,target
12,260PXF,"""Olek położył się spać.""",Olek położył się do łóżka.,P R,filler
13,057MXZ,"""Adam myśli, że książka, upadając, otworzyła się na sto dwudziestej czwartej stronie.""",Adam zasługuje na naganę.,Z,target
14,221PXF,"""Niektóre dzieci są nieposłuszne.""",nie wszystkie dzieci są nieposłuszne.,P skalarne,filler
15,004MXO,"""Arek myśli, że żyrafa jest najwyższym zwierzęciem lądowym.""",Arek zasługuje na naganę.,O,target
