,Numer,Zdanie,"Sugeruje, że",Rodzaj,Typ,Czasownik,Poch/nag,Czas
0,247PXF,"""Beata dała świnkom morskim marchewkę i seler.""",Beata nie dała świnkom morskim pietruszki.,P Q,filler,,,
1,087OXK,"""Lucjusz wiedział, że jeżeli studentka kupi czerwony zeszyt, to jej kolega to zauważy.""",Lucjusz zasługuje na naganę.,C,target,wiedzieć,N,przeszły
2,117OXK,"""Hubert wiedział, że pojechanie autobusem 128 spowoduje, że dotrze na miejsce o czwartej po południu.""",Hubert zasługuje na pochwałę.,W,target,wiedzieć,P,przeszły
3,220LXF,"""Tadeusz został niesłusznie skazany za zabicie swojej żony.""",Tadeusz nie zabił swojej żony.,L,filler,,,
4,055OXZ,"""Celina myślała, że Amelia poczuła dochodzący z kuchni zapach oregano.""",Celina zasługuje na pochwałę.,Z,target,myśleć,P,przeszły
5,268NXF,"""Juliusz wziął udział w loterii.""",Juliusz wygra główną nagrodę.,N,filler,,,
6,054OXZ,"""Rupert wiedział, że Ludwice przyśniło się, że rozmawiała z siostrą o pogodzie.""",Rupert zasługuje na pochwałę.,Z,target,wiedzieć,P,przeszły
7,044OXZ,"""Bogdan myślał, że Dorota dostrzegła za oknem zaśnieżone czubki drzew.""",Bogdan zasługuje na naganę.,Z,target,myśleć,N,przeszły
8,273NXF,"""Piorun trafił w najwyższą wieżę zamku.""",w pożarze zginęło dwoje dzieci.,N,filler,,,
9,256PXF,"""Przed pójściem spać Tymek przytulił kota.""",Tymek przytulił swojego kota.,P R,filler,,,
10,103OXK,"""Albert wiedział, że wciśnięcie przycisku spowoduje, że światło w pokoju zgaśnie.""",Albert zasługuje na naganę.,W,target,wiedzieć,N,przeszły
11,020WXO,"""Damian wiedział, że stolica Andory jest najwyżej położoną stolicą w Europie.""",Damian zasługuje na naganę.,O,target,wiedzieć,N,przeszły
12,116OXK,"""Alfred myślał, że jeżeli ściszy głos, to brat go nie usłyszy.""",Alfred zasługuje na naganę.,W,target,myśleć,N,przeszły
13,259PXF,"""Kajtek przyniósł chleb ze sklepu.""",Kajtek zapłacił za chleb w sklepie.,P R,filler,,,
14,109OXK,"""Martyna wiedziała, że jeżeli Patrycja wywiesi transparent, to wiele osób go zobaczy.""",Martyna zasługuje na pochwałę.,C,target,wiedzieć,P,przeszły
15,042OXZ,"""Marcelina myślała, że na południu Polski ciśnienie powietrza wzrosło.""",Marcelina zasługuje na pochwałę.,Z,target,myśleć,P,przeszły
16,233PXF,"""Ksenia zjadła obiad i poszła do pracy.""",Ksenia zjadła obiad przed pracą.,P sekwencja,filler,,,
17,107OXK,"""Gabriela wiedziała, że zamknięcie drzwi spowoduje, że nikt nie będzie mógł wejść do środka.""",Gabriela zasługuje na pochwałę.,W,target,wiedzieć,P,przeszły
18,237PXF,"""Kot ziewnął i przeciągnął się.""","kot najpierw ziewnął, a potem się przeciągnął.",P sekwencja,filler,,,
19,266NXF,"""Niektóre słonie są duże.""",wszystkie słonie są silne.,N,filler,,,
20,204LXF,"""Nie wszyscy studenci zdali egzamin.""",niektórzy studenci nie zdali egzaminu.,L,filler,,,
21,097OXK,"""Rafał wiedział, że wezwanie od szefa sprawi, że pójdzie do jego gabinetu.""",Rafał zasługuje na pochwałę.,W,target,wiedzieć,P,przeszły
22,250PXF,"""Ulubiona nauczycielka Henia uczy plastyki i muzyki.""",ulubiona nauczycielka Henia nie uczy etyki.,P Q,filler,,,
23,253PXF,"""Kwiatkowscy weszli do domu.""",Kwiatkowscy weszli do własnego domu.,P R,filler,,,
24,081OXK,"""Anna wiedziała, że przyjście o jedenastej spowoduje, że spotka dozorcę.""",Anna zasługuje na pochwałę.,W,target,wiedzieć,P,przeszły
25,019MXO,"""Basia myślała, że grecki hymn państwowy jest najdłuższym hymnem na świecie.""",Basia zasługuje na pochwałę.,O,target,myśleć,P,przeszły
26,264NXF,"""Konrad wczoraj spadł z krzesła.""",Konrad wysłał dzisiaj dwa listy.,N,filler,,,
27,272NXF,"""Sandra usłyszała od przyjaciółki, że w ich ulubionej księgarni jest promocja.""",przyjaciółka Sandry jest wysoka.,N,filler,,,
28,106OXK,"""Selekcjoner myślał, że jeśli wpuści na boisko Kowalskiego, to mecz zakończy się remisem.""",selekcjoner zasługuje na naganę.,W,target,myśleć,N,przeszły
29,049OXZ,"""Wiktoria wiedziała, że konkurs zakończył się dwudziestego drugiego maja.""",Wiktoria zasługuje na pochwałę.,Z,target,wiedzieć,P,przeszły
30,004MXO,"""Arek myślał, że żyrafa jest najwyższym zwierzęciem lądowym.""",Arek zasługuje na naganę.,O,target,myśleć,N,przeszły
31,230PXF,"""Możliwe, że śmierć nastąpiła w wyniku nieszczęśliwego wypadku.""","nie jest pewne, czy to był wypadek.",P skalarne,filler,,,
32,067PXZ,"""Estera myślała, że Aneta usłyszała w radiu swoją ulubioną piosenkę.""",Estera zasługuje na naganę.,Z,target,myśleć,N,przeszły
33,083OXK,"""Zygmunt wiedział, że jeśli Filip otworzy drzwi, to będzie go widać z korytarza.""",Zygmunt zasługuje na pochwałę.,C,target,wiedzieć,P,przeszły
34,113OXK,"""Muzyk wiedział, że wydanie singla spowoduje, że nowy utwór będzie często grany w radiu.""",muzyk zasługuje na naganę.,W,target,wiedzieć,N,przeszły
35,214LXF,"""Trener dowiedział się, że jeden z zawodników stosował doping.""",jeden z zawodników stosował doping.,L,filler,,,
36,082OXK,"""Eliza myślała, że jeżeli Julia zapali światło, to domownicy to zauważą.""",Eliza zasługuje na pochwałę.,C,target,myśleć,P,przeszły
37,206LXF,"""Irena domyśliła się, że jej córka przyjechała pociągiem.""",córka Ireny przyjechała pociągiem.,L,filler,,,
38,047OXZ,"""Pola wiedziała, że Małgorzata urodziła się dwudziestego września 1992 roku.""",Pola zasługuje na naganę.,Z,target,wiedzieć,N,przeszły
39,242PXF,"""Krzysztof niechcący wpadł na stojący na chodniku zielony rower.""",to nie był rower Krzysztofa.,P Q,filler,,,
40,001WXO,"""Jerzy wiedział, że Ziemia jest okrągła.""",Jerzy zasługuje na pochwałę.,O,target,wiedzieć,P,przeszły
41,017MXO,"""Ola myślała, że w Rosji jest jedenaście stref czasowych.""",Ola zasługuje na naganę.,O,target,myśleć,N,przeszły
42,007WXO,"""Kinga wiedziała, że kora większości gatunków brzozy jest biała.""",Kinga zasługuje na naganę.,O,target,wiedzieć,N,przeszły
43,210LXF,"""Jarek nie zauważył, że jego pies wybiegł z domu.""",pies Jarka wybiegł z domu.,L,filler,,,
44,043OXZ,"""Zofia wiedziała, że drugiego sierpnia Słońce zajdzie o dwudziestej dwadzieścia pięć.""",Zofia zasługuje na naganę.,Z,target,wiedzieć,N,przeszły
45,011MXO,"""Wioletta myślała, że w styczniu Ziemia znajduje się najbliżej Słońca.""",Wioletta zasługuje na pochwałę.,O,target,myśleć,P,przeszły
46,238PXF,"""Ireneusz miał wypadek samochodowy i przeszedł operację.""",wypadek miał miejsce przed operacją.,P sekwencja,filler,,,
47,229PXF,"""Troje studentów nie zdało egzaminu.""",wszyscy pozostali studenci zdali.,P skalarne,filler,,,
48,270NXF,"""Natalia chce polecieć do Finlandii.""",brat Natalii jest poważnie chory.,N,filler,,,
49,104OXK,"""Iga myślała, że jeśli Monika poleci ten film, to jej kolega go obejrzy.""",Iga zasługuje na naganę.,C,target,myśleć,N,przeszły
50,255PXF,"""Wieczorem Daria ułożyła dziecko do snu.""",Daria ułożyła do snu swoje dziecko.,P R,filler,,,
51,084OXK,"""Maciek myślał, że jeżeli odsłoni żaluzje, to jego siostra spojrzy za okno.""",Maciek zasługuje na pochwałę.,W,target,myśleć,P,przeszły
52,251PXF,"""Ewa złamała palec u nogi.""",Ewa złamała swój palec.,P R,filler,,,
53,208LXF,"""Żadne zwierzę nie jest tak szybkie jak Struś Pędziwiatr.""",wszystkie psy są wolniejsze niż Struś Pędziwiatr.,L,filler,,,
54,254PXF,"""Ojciec przyjechał na spotkanie samochodem.""",ojciec przyjechał własnym samochodem.,P R,filler,,,
55,013MXO,"""Aurelia myślała, że pingwiny potrafią nurkować na głębokość ponad 250 metrów.""",Aurelia zasługuje na naganę.,O,target,myśleć,N,przeszły
56,086OXK,"""Wiktoria myślała, że jeśli Antoni ugotuje dla żony danie z pomidorami, to ona poczuje ich smak.""",Wiktoria zasługuje na naganę.,C,target,myśleć,N,przeszły
57,216LXF,"""Żona burmistrza wywołała skandal.""",burmistrz ma żonę.,L,filler,,,
