,F1,F2,centering,czy_ostatnie,index,l1,l2sens,realization,set,target
0,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,filler28,,,,,filler,sensible,filler28
1,Marzena często komplementowała Zosię.,"Marzena zawsze uważała, że Zosia ma dobry gust.",centered,0.0,8.0,16.0,0.0,noun,2,target
2,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.",filler5,,,,,pronoun,nonsensible,filler5
3,Marta kupiła Natalii wielki bukiet róż.,"Była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.",noncentered,0.0,87.0,21.0,13.0,null,15,target
4,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",filler8,,,,,noun,nonsensible,filler8
5,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.",filler27,,,,,filler,sensible,filler27
6,Jan wygrał tym razem w szachy z Krzysztofem.,"Krzysztof często miał problem, gdy Jan grał białymi.",noncentered,0.0,17.0,13.0,0.0,noun,3,target
7,Adrian zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.",filler34,,,,,filler,sensible,filler34
8,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Domince starczyłoby na jabłka.",filler18,,,,,noun,nonsensible,filler18
9,Grażyna przesłała e-mailem Klarze podziękowania.,"Cieszyła się, że udało się jej szczerze porozmawiać z Klarą.",centered,1.0,24.0,19.0,17.0,null,5,target
10,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,filler39,,,,,filler,sensible,filler39
11,Ada wyszła z Krysią na spacer.,"Zebrała się wreszcie na odwagę, by wszystko wyznać Krysi.",centered,1.0,120.0,15.0,17.0,null,21,target
12,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.",filler1,,,,,pronoun,nonsensible,filler1
13,Asia znalazła na strychu stary pamiętnik Ewy.,"Ewa, pamiętając, co kiedyś o niej napisała, nie mogła zdobyć się na rozmowę z Asią.",noncentered,1.0,65.0,28.0,0.0,noun,11,target
14,Kaczor Donald był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,filler32,,,,,filler,sensible,filler32
15,Tomek znalazł w szatni zeszyt Kuby.,"Ucieszył się, bo już dawno temu miał go zwrócić Kubie.",centered,1.0,18.0,16.0,12.0,null,4,target
16,Maja urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,filler35,,,,,filler,sensible,filler35
17,Daria wybrała się razem z Kingą na wyprawę górską.,"Zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.",centered,1.0,144.0,23.0,21.0,null,25,target
18,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,filler29,,,,,filler,sensible,filler29
19,Jacek szczerze przeprosił Piotra.,Piotr był wyraźnie urażony wypowiedzią Jacka.,noncentered,1.0,5.0,15.0,0.0,noun,1,target
20,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,filler36,,,,,filler,sensible,filler36
21,Igor usiadł w ławce razem z Albertem.,"Był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Igorem.",noncentered,1.0,153.0,28.0,25.0,null,26,target
22,Grzegorz naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,filler4,,,,,pronoun,nonsensible,filler4
23,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Wojtek rozglądał się uważnie, wypatrując Darka.",noncentered,1.0,113.0,15.0,0.0,noun,19,target
24,Ula pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,filler40,,,,,filler,sensible,filler40
25,Wiktor uścisnął na koniec dłoń Pawła.,"Paweł zastanawiał się, czy to dobrze, że sprzedał Wiktorowi motocykl.",noncentered,0.0,41.0,21.0,0.0,noun,7,target
26,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminły.",filler12,,,,,pronoun,nonsensible,filler12
27,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,filler33,,,,,filler,sensible,filler33
28,Marcin nie lubi pracować z Hubertem.,"On często bardzo się złości, gdy Marcin stara się mu pomóc.",noncentered,0.0,94.0,15.0,9.0,pronoun,16,target
29,Lilka zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,filler37,,,,,filler,sensible,filler37
30,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Ona doskonale wiedziała, dlaczego Sylwia to zrobiła.",noncentered,0.0,34.0,19.0,12.0,pronoun,6,target
31,Olek znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,filler38,,,,,filler,sensible,filler38
32,Katastrofa Dominiki bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,filler9,,,,,noun,nonsensible,filler9
33,Adrian przeczytał wiadomość od Kacpra.,"On nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.",noncentered,1.0,166.0,21.0,19.0,pronoun,28,target
34,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.",filler10,,,,,noun,nonsensible,filler10
35,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,filler26,,,,,filler,sensible,filler26
36,Lena nie jest w stanie skontaktować się z Klarą.,"Lena przynajmniej od tygodnia ma zepsuty telefon, więc nie może zadzwonić do Klary.",centered,1.0,158.0,26.0,0.0,noun,27,target
37,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.",filler14,,,,,pronoun,nonsensible,filler14
38,Rafał często znęcał się nad Grzesiem.,Rafał przez całą drogę do domu przedrzeźniał Grzesia.,centered,1.0,68.0,15.0,0.0,noun,12,target
39,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,filler23,,,,,filler,sensible,filler23
40,Olga przepisała pracę domową od Ani.,"Ona nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Olga.",noncentered,1.0,136.0,27.0,25.0,pronoun,23,target
41,Szczepan poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,filler19,,,,,noun,nonsensible,filler19
42,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Ona będzie musiała przyznać się mamie, że pożyczyła kolczyki od Julii.",centered,1.0,103.0,23.0,21.0,pronoun,18,target
43,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.",filler20,,,,,noun,nonsensible,filler20
