,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
0,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.","Marcin starał się uspokoić Magdalenę, która od godziny nie mogła przestać płakać.",filler8,,,,,noun,nonsensible,,filler8
1,Asia znalazła na strychu stary pamiętnik Ewy.,"Ona po tym, czego się dowiedziała, nie mogła długo zdobyć się na rozmowę z Ewą.","Asia znalazła na strychu stary pamiętnik Ewy, która zawsze wydawała się miła.",centered,1.0,61.0,22.0,14.0,pronoun,11,,target
2,Szczepan poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,"Szczepan poszedł na imprezę z Olą, która przyniosła wino i sernik.",filler19,,,,,noun,nonsensible,,filler19
3,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,"Tymon chodził na korepetycje z Krystianem, który był w równoległej klasie.",filler15,,,,,pronoun,nonsensible,,filler15
4,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,"Mateusz zaraził się grypą od Adriana, z którym widział się tylko dziesięć minut.",filler29,,,,,filler,sensible,,filler29
5,Michał zadzwonił wcześnie rano do Karola.,"Karol miał ważną sprawę, dlatego Michał oddzwonił, gdy tylko wstał.","Michał zadzwonił wcześnie rano do Karola, który bardzo często wstawał przed szóstą.",noncentered,0.0,59.0,19.0,0.0,noun,10,,target
6,Klemens gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,"Klemens gotował obiad razem z Heleną, która cały czas żartowała ze swoich z rodziców.",filler24,,,,,filler,sensible,,filler24
7,Staś pomógł Adamowi myć samochód.,"Staś mył szyby specjalnym płynem, a Adam czyścił pastą felgi.","Staś pomógł myć samochód Adamowi, który robił to pierwszy raz w życiu.",centered,0.0,80.0,18.0,0.0,noun,14,,target
8,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.","Teresa wrzuciła banknot do skrytki Marty, której była winna pieniądze.",filler5,,,,,pronoun,nonsensible,,filler5
9,Daria wybrała się razem z Kingą na wyprawę górską.,"Kinga zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Darii.","Daria wybrała się na wyprawę górską razem z Kingą, która od dawna chciała gdzieś wyjechać.",noncentered,1.0,149.0,25.0,23.0,noun,25,,target
10,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,"Zosia nie potrafiła doradzić Lucynie, która od tygodnia chodziła załamana.",filler25,,,,,filler,sensible,,filler25
11,Marek kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,"Marek kopnął w nogę Ziemowita, który był po prostu bardzo irytujący.",filler7,,,,,noun,nonsensible,,filler7
12,Tomek znalazł w szatni zeszyt Kuby.,"On ucieszył się, bo już dawno temu miał go zwrócić Kubie.","Tomek znalazł w szatni zeszyt Kuby, który uczył się do egzaminu.",centered,1.0,19.0,17.0,13.0,pronoun,4,,target
13,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,"Aniela znalazła pracę w firmie Bartka, który zaproponował jej wolną posadę.",filler36,,,,,filler,sensible,,filler36
14,Igor usiadł w ławce razem z Albertem.,"Był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Albertem.","Igor usiadł w ławce razem z Albertem, który był pełen zapału do pracy.",centered,1.0,150.0,28.0,25.0,null,26,11.0,target
15,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.","Prosiaczek lubił jeść miód z Puchatkiem, który mieszkał na zachód od Stumilowego Lasu.",filler14,,,,,pronoun,nonsensible,,filler14
