,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
0,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.","Prosiaczek lubił jeść miód z Puchatkiem, który mieszkał na zachód od Stumilowego Lasu.",filler14,,,,,pronoun,nonsensible,,filler14
1,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Sylwia była wstrząśnięta tym, że Malwina przespała się z jej mężem.","Sylwia w gniewie zepchnęła ze schodów Malwinę, która nawet nie zdążyła krzyknąć.",centered,0.0,32.0,20.0,0.0,noun,6,,target
2,Olek znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,"Olek znowu zdradził Franciszkę, z którą nie dogadywał się od dłuższego czasu.",filler38,,,,,filler,sensible,,filler38
3,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.","Marcin starał się uspokoić Magdalenę, która od godziny nie mogła przestać płakać.",filler8,,,,,noun,nonsensible,,filler8
4,Klemens gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,"Klemens gotował obiad razem z Heleną, która cały czas żartowała ze swoich z rodziców.",filler24,,,,,filler,sensible,,filler24
5,Marysia pozmywała naczynia za Sonię.,"Ona musi się nauczyć, żeby nie robić wszystkiego za Sonię.","Marysia pozmywała naczynia za Sonię, która znów nie wyrabia się z pracą.",centered,1.0,97.0,19.0,17.0,pronoun,17,,target
6,Lilka zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,"Lilka zaprzyjaźniła się z Marianką, która jest od niej młodsza tylko o dwa miesiące.",filler37,,,,,filler,sensible,,filler37
7,Daria wybrała się razem z Kingą na wyprawę górską.,"Zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Darii.","Daria wybrała się na wyprawę górską razem z Kingą, która od dawna chciała gdzieś wyjechać.",noncentered,1.0,147.0,23.0,21.0,null,25,,target
8,"Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,"Paula wiedziała, na co może liczyć ze strony Łucji, która już nie raz dała się poznać ze złej strony.",filler3,,,,,pronoun,nonsensible,,filler3
9,Konrad umówił się z Błażejem pod sklepem.,"Siedział pod sklepem godzinę, jednak nie doczekał się Błażeja.","Konrad umówił się pod sklepem z Błażejem, który zawsze przychodził punktualnie.",centered,1.0,174.0,18.0,15.0,null,30,11.0,target
10,Damian nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,"Damian nie potrafił zaimponować Sylwii, która ostatnio bardzo wydoroślała.",filler31,,,,,filler,sensible,,filler31
11,Lena nie jest w stanie skontaktować się z Klarą.,"Ona przynajmniej od tygodnia ma zepsuty telefon, więc nie może zadzwonić do Klary.","Lena nie jest w stanie skontaktować się z Klarą, która nic jeszcze nie wie o wypadku.",centered,1.0,157.0,26.0,24.0,pronoun,27,,target
12,Dla Radka najważniejsze było bezpieczeństwo Oli.,Dlatego wysłał ją na kurs samoobrony.,"Dla Radka najważniejsze było bezpieczeństwo Oli, która często wracała sama do domu po zmroku.",filler22,,,,,filler,sensible,,filler22
13,Werka pogłaskała Łatkę po głowie.,"Werka często tak robiła, gdy zostawiała Łatkę samą w domu.","Werka pogłaskała po głowie Łatkę, która bardzo lubiła być pieszczona.",centered,0.0,44.0,20.0,0.0,noun,8,,target
14,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.","Jan nie był w stanie wysłać czeku Tadkowi, który akurat na gwałt potrzebował pieniędzy.",filler1,,,,,pronoun,nonsensible,,filler1
15,Wiktor uścisnął na koniec dłoń Pawła.,"Był zadowolony z transakcji, którą zawarł z Pawłem.","Wiktor uścisnął na koniec dłoń Pawła, o którym wszyscy dobrze mówili.",centered,1.0,36.0,17.0,15.0,null,7,10.0,target
16,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.","Staś próbował zrobić ulubiony tort Doroty, która bardzo lubiła słodycze.",filler12,,,,,pronoun,nonsensible,,filler12
17,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Będzie musiała przyznać się mamie, że pożyczyła kolczyki od Julii.","Hania zgubiła podczas wycieczki złote kolczyki Julii, która lubiła ładną biżuterię.",centered,1.0,102.0,21.0,19.0,null,18,11.0,target
18,Marek kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,"Marek kopnął w nogę Ziemowita, który był po prostu bardzo irytujący.",filler7,,,,,noun,nonsensible,,filler7
19,Asia znalazła na strychu stary pamiętnik Ewy.,"Po tym, czego się dowiedziała, nie mogła długo zdobyć się na rozmowę z Ewą.","Asia znalazła na strychu stary pamiętnik Ewy, która zawsze wydawała się miła.",centered,1.0,60.0,21.0,13.0,null,11,11.0,target
20,Katastrofa Dominiki bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,"Katastrofa Dominiki bardzo dotknęła Wojtka, który nie umiał ukryć swojej troski o nią.",filler9,,,,,noun,nonsensible,,filler9
21,Marta kupiła Natalii wielki bukiet róż.,"Ona była bardzo zaskoczona, że Natalia tak chętnie jej pomogła.","Marta kupiła wielki bukiet róż Natalii, która bardzo lubiła cięte kwiaty.",centered,0.0,85.0,21.0,11.0,pronoun,15,,target
22,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.","Dawid marzył o dorównaniu Paulinie, która grała na gitarze lepiej od niego.",filler10,,,,,noun,nonsensible,,filler10
23,Kasia straciła zaufanie do Janiny.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.","Kasia straciła zaufanie do Janiny, z którą już wcześniej pracowała przy zbiorach.",filler2,,,,,pronoun,nonsensible,,filler2
24,Irena odziedziczyła cały spadek po Konradzie.,Stała się z dnia na dzień obrzydliwie bogata.,"Irena odziedziczyła cały spadek po Konradzie, który niespodziewanie zmarł w czasie wakacji.",filler30,,,,,filler,sensible,,filler30
25,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.","Tomek zaplanował wyjazd z Magdą, która była dziewczyną jego najlepszego przyjaciela.",filler17,,,,,noun,nonsensible,,filler17
