,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
0,Klara zawsze wytrącała Jagodę z równowagi.,Klara nigdy nie spóźniała się na korepetycje u Jagody.,"Klara zawsze wytrącała z równowagi Jagodę, która jej po prostu nie znosiła.",filler6,,,,,noun,nonsensible,,filler6
1,Ala wysłała Kasię do sklepu po zakupy.,"Nie mogła znaleźć rzeczy, o które poprosiła ją Ala.","Ala wysłała do sklepu po zakupy Kasię, na której można było zawsze polegać.",noncentered,1.0,75.0,16.0,14.0,null,13,,target
2,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.","Zrozpaczona Zosia przytuliła się do Maćka, na którego zawsze mogła liczyć.",filler20,,,,,noun,nonsensible,,filler20
3,Olek znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,"Olek znowu zdradził Franciszkę, z którą nie dogadywał się od dłuższego czasu.",filler38,,,,,filler,sensible,,filler38
4,Grażyna przesłała e-mailem Klarze podziękowania.,"Klara nie wiedziała, co powinna odpowiedzieć Grażynie.","Grażyna przesłała e-mailem podziękowania Klarze, której pomoc była nieoceniona.",noncentered,1.0,29.0,16.0,0.0,noun,5,,target
5,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,"Paweł uczył jeździć na łyżwach Paulinę, którą już od miesiąca stara się poderwać.",filler39,,,,,filler,sensible,,filler39
6,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.","Tomek zaplanował wyjazd z Magdą, która była dziewczyną jego najlepszego przyjaciela.",filler17,,,,,noun,nonsensible,,filler17
7,Jan wygrał tym razem w szachy z Krzysztofem.,On był znacznie silniejszym graczem niż Krzysztof.,"Jan wygrał tym razem w szachy z Krzysztofem, który miał ostatnio dobrą passę.",centered,1.0,13.0,13.0,10.0,pronoun,3,,target
8,Damian nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,"Damian nie potrafił zaimponować Sylwii, która ostatnio bardzo wydoroślała.",filler31,,,,,filler,sensible,,filler31
9,Marcin nie lubi pracować z Hubertem.,"Marcin nie lubi robić wszystkiego w pośpiechu, a Hubertowi to nie przeszkadza.","Marcin nie lubi pracować z Hubertem, który jest jego najbliższym sąsiadem.",centered,0.0,92.0,24.0,0.0,noun,16,,target
