,index,F0,F1,F2,l1,l2sens,czy_ostatnie,realization,centering,set,target,Unnamed: 10
0,58.0,Michał wstał wczoraj o świcie.,Zadzwonił wcześnie rano do Karola.,"On miał ważną sprawę, dlatego Michał oddzwonił, gdy tylko wstał.",18.0,9.0,0.0,pronoun,noncentered,10,target,
1,,Krzysztof dostał dużą premię od swojego szefa.,Postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.",,,,noun,filler18,nonsensible,filler18,
2,,Damian wysłał na czacie swoje zdjęcie bez koszulki.,Nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,,,,filler,filler31,sensible,filler31,
3,105.0,Hania podczas pieszych wędrówek była bardzo nieuważna.,Zgubiła podczas wycieczki złote kolczyki Julii.,"Będzie musiała przyznać się mamie, że pożyczyła kolczyki Hani.",20.0,18.0,1.0,null,noncentered,18,target,
4,,Marek miał już dość nieczystej gry przeciwników.,Kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,,,,noun,filler7,nonsensible,filler7,
5,61.0,Asia lubi wściubiać nos w nie swoje sprawy.,Znalazła na strychu stary pamiętnik Ewy.,"Ona po tym, czego się dowiedziała, nie mogła długo zdobyć się na rozmowę z Ewą.",22.0,14.0,1.0,pronoun,centered,11,target,
6,,Staś miał w swoim życiu kilka autorytetów.,Zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,,,,filler,filler23,sensible,filler23,
7,50.0,Bartek zdenerwowany usiadł do odrabiania pracy domowej.,Z wściekłością wyrzucił Maćka z pokoju.,"Bartek szybko się denerwował, gdy Maciek przeszkadzał mu w pracy.",19.0,0.0,0.0,noun,centered,9,target,
8,,Klemens testował nowy przepis.,Gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,,,,filler,filler24,sensible,filler24,
9,4.0,Jacka męczyły wyrzuty sumienia.,Dlatego szczerze przeprosił Piotra.,On był wyraźnie urażony wypowiedzią Jacka.,15.0,5.0,1.0,pronoun,noncentered,1,target,
10,,Marcin był najbardziej opanowanym członkiem komisji.,Starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",,,,noun,filler8,nonsensible,filler8,
11,91.0,Marcinowi nie jest łatwo odnaleźć się w nowej pracy.,Nie lubi pracować z Hubertem.,"On nie lubi robić wszystkiego w pośpiechu, a Hubertowi to nie przeszkadza.",23.0,14.0,0.0,pronoun,centered,16,target,
12,,Alicji skończył się zasiłek dla bezrobotnych.,Znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,,,,filler,filler36,sensible,filler36,
13,18.0,Tomek odznaczał się spostrzegawczością.,Znalazł w szatni zeszyt Kuby.,"Ucieszył się, bo już dawno temu miał go zwrócić Kubie.",16.0,12.0,1.0,null,centered,4,target,
14,,"Szczepan długo myślał, kogo zaprosić na wesele.",Poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,,,,noun,filler19,nonsensible,filler19,
15,145.0,Daria postanowiła zorganizować wycieczkę.,Wybrała się razem z Kingą na wyprawę górską.,"Ona zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.",25.0,23.0,1.0,pronoun,centered,25,target,
16,,Tomek od dawna chciał zwiedzić Paryż.,Zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.",,,,noun,filler17,nonsensible,filler17,
17,81.0,Staś nigdy nie odmawiał przyjaciołom w potrzebie.,Pomógł Adamowi myć samochód.,"Wiedział, że prawdopodobnie Staś będzie chciał zapłatę.",15.0,8.0,0.0,null,noncentered,14,target,
18,,Lilka szybko odnalazła się w nowym przedszkolu.,Zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,,,,filler,filler37,sensible,filler37,
19,100.0,Marysia zawsze wyręczała swoich podopiecznych.,Pozmywała naczynia za Sonię.,"Ona musi się nauczyć, żeby nie obciążać swoimi obowiązkami Marysi.",19.0,17.0,1.0,pronoun,noncentered,17,target,
