,F0,F1,F2,l1,l2sens,czy_ostatnie,realization,centering,set,target,Unnamed: 10,index
0,Zuzia była w klasie bardzo popularna.,Była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,,,,filler,filler28,sensible,filler28,,
1,Staś nigdy nie odmawiał przyjaciołom w potrzebie.,Pomógł Adamowi myć samochód.,"Adam wiedział, że prawdopodobnie Staś będzie chciał zapłatę.",17.0,0.0,0.0,noun,noncentered,14,target,,83.0
2,Klemens testował nowy przepis.,Gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,,,,filler,filler24,sensible,filler24,,
3,Marzena znana jest ze swojej szczerości.,Często komplementowała Zosię.,"Marzena zawsze uważała, że Zosia ma dobry gust.",16.0,0.0,0.0,noun,centered,2,target,,8.0
4,Tadeusz był śmiertelnie zakochany w Marii.,Codziennie pisał wiersze dla Marii.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,,,,pronoun,filler13,nonsensible,filler13,,
5,"Basia dowiedziała się, że jej mąż rozbił po pijaku nowy samochód.",W sekrecie powiedziała Oli o wypadku.,"Nie dotrzymała tajemnicy, mimo że obiecała Basi, że nic nikomu nie powie.",21.0,16.0,0.0,null,noncentered,20,target,,117.0
6,Lilia zakasała rękawy i wzięła się do roboty.,Pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,,,,filler,filler40,sensible,filler40,,
7,Adrian usłyszał dzwonek i sięgnął po telefon.,Przeczytał wiadomość od Kacpra.,"Nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.",20.0,18.0,1.0,null,noncentered,28,target,,165.0
8,Damian wysłał na czacie swoje zdjęcie bez koszulki.,Nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,,,,filler,filler31,sensible,filler31,,
9,Michał wstał wczoraj o świcie.,Zadzwonił wcześnie rano do Karola.,"Karol miał ważną sprawę, dlatego Michał oddzwonił, gdy tylko wstał.",19.0,0.0,0.0,noun,noncentered,10,target,,59.0
10,Prosiaczek przyszedł na podwieczorek do Puchatka.,Lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.",,,,pronoun,filler14,nonsensible,filler14,,
11,Tomek odznaczał się spostrzegawczością.,Znalazł w szatni zeszyt Kuby.,Kuba nie mógł go znaleźć od tygodnia i teraz był wdzięczny Tomkowi.,19.0,0.0,1.0,noun,noncentered,4,target,,23.0
12,Staś był świetny w domowych wypiekach.,Próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.",,,,pronoun,filler12,nonsensible,filler12,,
13,Ada cały dzień miała ochotę wyrwać się z domu.,Wyszła z Krysią na spacer.,"Zebrała się wreszcie na odwagę, by wszystko wyznać Krysi.",15.0,17.0,1.0,null,centered,21,target,,120.0
14,Maja zaraz po ślubie zaszła w ciążę.,Urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,,,,filler,filler35,sensible,filler35,,
15,Marta poszła wczoraj do kwiaciarni.,Kupiła Natalii wielki bukiet róż.,"Ona była bardzo zaskoczona, że Natalia tak chętnie jej pomogła.",21.0,11.0,0.0,pronoun,centered,15,target,,85.0
16,Marcin był najbardziej opanowanym członkiem komisji.,Starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",,,,noun,filler8,nonsensible,filler8,,
17,Lena wygląda na bardzo zaniepokojoną.,Nie jest w stanie skontaktować się z Klarą.,"Ona przynajmniej od tygodnia ma zepsuty telefon, więc nie dziwne, że Lena nie może się dodzwonić.",32.0,26.0,0.0,pronoun,noncentered,27,target,,160.0
